"FID_","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","FIPS","POP2000","POP00_SQMI","POP2010","POP10_SQMI","WHITE","BLACK","AMERI_ES","ASIAN","HAWN_PI","OTHER","MULT_RACE","HISPANIC","MALES","FEMALES","AGE_UNDER5","AGE_5_17","AGE_18_21","AGE_22_29","AGE_30_39","AGE_40_49","AGE_50_64","AGE_65_UP","MED_AGE","MED_AGE_M","MED_AGE_F","HOUSEHOLDS","AVE_HH_SZ","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","FAMILIES","AVE_FAM_SZ","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","NO_FARMS07","AVG_SIZE07","CROP_ACR07","AVG_SALE07","SQMI","OID_1"
,"Ashe","North Carolina","37","009","37009",24384,57.100000,26861,62.900000,23691,162,79,57,2,257,136,590,12031,12353,1295,3532,1051,2198,3347,3694,4890,4377,42.100000,40.100000,44.000000,10411,2.310000,1077,1608,2116,4068,181,429,7422,2.750000,13268,2857,8428,1983,1125.000000,96.000000,38039.000000,37.070000,426.800000,1819
,"Alleghany","North Carolina","37","005","37005",10677,45.300000,11244,47.700000,10217,131,28,21,1,187,92,530,5259,5418,555,1518,470,968,1361,1567,2185,2053,43.000000,40.700000,45.200000,4593,2.280000,481,797,900,1776,67,171,3169,2.750000,6412,1819,3624,969,519.000000,148.000000,29178.000000,65.500000,235.500000,1821
,"Surry","North Carolina","37","171","37171",71219,132.400000,73271,136.200000,64383,2965,165,403,27,2459,817,4620,34828,36391,4508,12272,3128,7277,10626,10198,12237,10973,38.000000,36.200000,39.800000,28408,2.460000,2732,4359,6782,9803,533,1441,20484,2.920000,31033,2625,21685,6723,1258.000000,91.000000,53549.000000,96.780000,537.800000,1822
,"Currituck","North Carolina","37","053","37053",18190,41.000000,24830,55.900000,16445,1318,83,71,6,91,176,261,9032,9158,1101,3506,693,1511,2881,3076,3236,2186,38.300000,38.000000,38.500000,6902,2.610000,658,684,1777,2478,172,367,5203,2.980000,10687,3785,5630,1272,80.000000,345.000000,25117.000000,153.040000,443.800000,1825
,"Northampton","North Carolina","37","131","37131",22086,40.100000,21041,38.200000,8633,13125,71,20,12,86,139,161,10583,11503,1260,4108,881,1881,2907,3296,3913,3840,40.000000,38.000000,42.000000,8691,2.440000,1036,1434,1411,2542,182,816,5952,2.990000,10455,1764,6692,1999,340.000000,458.000000,106222.000000,287.710000,550.600000,1826
,"Hertford","North Carolina","37","091","37091",22601,62.700000,23672,65.700000,8464,13459,269,71,5,147,186,354,10384,12217,1236,4487,1112,1847,2903,3636,3813,3567,39.200000,37.500000,40.400000,8953,2.480000,925,1483,1559,2544,177,948,6237,2.990000,9724,771,6267,2686,163.000000,482.000000,52519.000000,515.490000,360.500000,1827
,"Camden","North Carolina","37","029","37029",6885,22.500000,10301,33.700000,5551,1189,29,39,2,9,66,49,3414,3471,387,1298,294,521,1067,1127,1258,933,39.100000,38.500000,39.700000,2662,2.580000,264,286,679,977,56,106,2024,2.970000,2973,311,2219,443,76.000000,726.000000,47647.000000,371.480000,305.700000,1828
,"Gates","North Carolina","37","073","37073",10516,30.400000,12160,35.200000,6213,4120,44,26,3,11,99,81,5155,5361,605,2198,388,814,1649,1586,1762,1514,38.100000,37.100000,38.800000,3901,2.660000,360,486,981,1252,86,268,2933,3.090000,4389,488,3202,699,181.000000,419.000000,49821.000000,264.520000,345.600000,1829
,"Warren","North Carolina","37","185","37185",19972,45.000000,19843,44.700000,7769,10882,957,26,5,157,176,317,9813,10159,1072,3629,927,1800,2642,2897,3537,3468,39.700000,37.600000,42.000000,7708,2.480000,889,1134,1357,2437,138,679,5448,2.970000,10548,2840,5967,1741,294.000000,247.000000,27909.000000,77.830000,443.800000,1830
,"Stokes","North Carolina","37","169","37169",44711,98.100000,46807,102.700000,41774,2084,109,86,23,393,242,836,21906,22805,2945,8005,1811,4486,7274,7136,7776,5278,37.200000,36.200000,38.300000,17579,2.510000,1664,2346,4606,6046,357,974,13035,2.940000,19262,1683,14431,3148,963.000000,95.000000,35195.000000,22.330000,455.900000,1831
